Institution ID,Institution Name,City,State/Province,Country
157,Wu Han University,WuHan,HuBei,China
158,Statistic,Beijing,,China
159,Zhengzhou University,Zhengzhou,Henan,China
160,shenyangjianzhu university,shenyang,liaoning,China
161,University of International and Business Economics,"Beijing,China",,China
162,University of Colorado Boulder,Boulder,CO,USA
163,"Beijing Normal University, Zhuhai",Zhuhai,,China
164,"School of Engineering, Sun Yat-Sen University",Guangzhou,Guangdong,China
165,University of International Business&Economics,Beijing,Beijing,China
166,Chengdu University of Information Technology,Chengdu City,Si Chuan Province,China
167,SouthWest Jiaotong University,Chengdu,Sichuan,China
168,"Math Institution ,Beihang University",Beijing,China,China
169,"No. 10, Huixin Dongjie, Chaoyang District, Beijing, P.R. China",Beijing,Beijing,China
170,ZheJiang University,Hangzhou,,China
171,Beijing Forestry University,Beijing,,China
172,Beihua University,Jilin,Jilin,China
173,University of international business and economics,Beijing,Beijing,China
174,School of mathematics and statistics,Beijing,Beijing,China
175,PLA Imformation Engineering University,ZhengZhou,HeNan,China
176,Xi'an University of architecture and technology,Xi'an,Shanxi,China
177,Shandong Normal University,Jinan,Shandong,China
178,Officer's college of CAPF,Chengdu,Sichuan,China
179,Tianjin University of Science and Technology,TianJin,TianJin,China
180,Inner Mongolia University,Hohhot,Inner Monglia,China
181,Qingdao Technical Colleage,Qingdao,Shandong,China
182,Renmin University Of China,Beijing,Beijing,China
183,ShanDong University,Jinan,Shandong,China
184,Hohai University,Nanjing,Jiangsu,China
185,"National Engineering Research Center for Multimedia Software, Wuhan University",Wuhan,Hubei,China
186,Guangdong University of Technology,Guangzhou,Guangdong,China
187,SOUTH WEST JIAOTONG UNIVERSITY,CHENG DU,SI CHUAN,China
188,Shanghai University of Finance and Ecomonics,Shanghai,,China
189,tongji university,shanghai,shanghai,China
190,Minzu university of China,Beijing,Beijing,China
191,Shanghai JiaoTong University,Shanghai,,China
192,China University of Geosciences (Wuhan),Wuhan,Hubei,China
193,University,Beijing,,China
194,Sichuan Agriculture University,Chengdu,Sichuan,China
195,Anhui University Of Science & Technology,Huainan,Anhui,China
196,SYSU,Guangzhou,Guangzhou,China
197,university of International Business and Economics,Beijing,Beijing,China
198,The University Of International Business Economics,Beijing,Beijing,China
199,the University of International Business and Economics,Beijing,Beijing,China
200,Qinghai University,Xining,Qinghai,China
201,Shanghai University of Finanace and Economics,Shanghai,Shanghai,China
202,Business School of the University of International Business and Economics,Beijing,Beijing,China
203,"Heilongjiang University, China",Harbin,Heilongjiang,China
204,Tianjin Foreign Studies University,Tianjin,Tianjin,China
205,South China University of Technology,Guangzhou,Guangdong,China
206,Central China Normal University,Wuhan,HUBEI,China
207,Tsinghua University,Beijing,China,China
208,Heilongjiang Institute of Technology,"Harbin,Heilongjiang Province,China",Heilongjiang,China
209,Shenyang Aerospace University,Shenyang,Liaoning,China
210,Shandong University,Jinan,Shandong,China
211,China Pharmaceutical University,Nanjing City,Jiangsu,China
212,Southwestern University Of Finance And Economics,Chengdu,Sichuan,China
213,XIDIAN UNIVERSITY,Xi'an,Shaanxi,China
214,Shanghai Jiaotong University,shanghai,shanghai,China
215,University Of International Business and Economics,Beijing,Beijing,China
216,Renmin University,Beijing,Beijing,China
217,Shenyang University,ShenYang,LiaoNing,China
218,TianJin university,TianJin,TianJin,China
219,University Of Science and Technology Beijing,Beijing,Beijing,China
220,"School of Mathematical Sciences, Beijing Normal University",Beijing,Beijing,China
221,South China Normal Univercity,Guangzhou,China,China
222,Shenyang Jianzhu university,Shenyang,Liaoning,China
223,Dalian University of Technology,Dalian,,China
224,Nanjing University of Posts and Telecommunications,Nanjing,JiangSu,China
225,Huangzhong University of Science and Technology,Wuhan,Hubei,China
226,South China Institute of Software Engineering. GU,Guangzhou,Guangdong,China
227,China University of Geosciences(Wuhan),Wuhan,Hubei,China
228,shandong university of science and technology,Qingdao,P.R.China,China
229,Ocean University of China,Shandong,Qingdao,China
230,College of Petroleum Engineering,Qingdao,Shandong,China
231,Henan Normal University,Xin'xiang,Henan Province,China
232,The Huazhong University of Science and Technology,Wuhan,Hubei Province,China
233,China University of Geosciences,Wuhan,Hubei,China
